City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Pierre,RE,2021-11-25 17:16:31,-21.3393,55.4781,77.29,87,75,8.05
1,Kapaa,US,2021-11-25 17:16:31,22.0752,-159.319,75.52,81,90,10.36
2,Presidencia Roque Saenz Pena,AR,2021-11-25 17:16:32,-26.7852,-60.4388,87.3,65,86,13.58
3,Mar Del Plata,AR,2021-11-25 17:16:32,-38.0023,-57.5575,68.02,86,0,8.99
4,Ponta Do Sol,PT,2021-11-25 17:16:32,32.6667,-17.1,68.72,62,91,4.99
5,Lebu,CL,2021-11-25 17:16:33,-37.6167,-73.65,62.19,69,3,10.92
6,Mataura,NZ,2021-11-25 17:16:33,-46.1927,168.8643,58.64,54,100,9.44
7,Litovko,RU,2021-11-25 17:16:34,49.2361,135.1742,16.43,94,100,2.3
8,Avarua,CK,2021-11-25 17:14:08,-21.2078,-159.775,75.25,94,36,5.75
9,Cuddapah,IN,2021-11-25 17:16:34,14.4667,78.8167,73.35,88,96,3.65
10,Bengkulu,ID,2021-11-25 17:16:35,-3.8004,102.2655,77.09,84,61,3.69
11,Vao,NC,2021-11-25 17:16:35,-22.6667,167.4833,73.18,87,100,13.51
12,Bluff,NZ,2021-11-25 17:16:35,-46.6,168.3333,57.72,69,94,13.78
13,Port Lincoln,AU,2021-11-25 17:16:36,-34.7333,135.8667,58.68,77,99,19.53
14,Dikson,RU,2021-11-25 17:16:36,73.5069,80.5464,0.55,92,100,5.48
15,Puerto Ayora,EC,2021-11-25 17:16:37,-0.7393,-90.3518,78.76,87,52,8.99
16,Hovd,MN,2021-11-25 17:16:37,48.0056,91.6419,30.92,46,100,10.25
17,Port Elizabeth,ZA,2021-11-25 17:16:38,-33.918,25.5701,65.1,68,75,19.57
18,Rostovka,RU,2021-11-25 17:16:38,55.3842,71.8891,1.26,96,24,8.63
19,Necochea,AR,2021-11-25 17:16:38,-38.5473,-58.7368,72.03,57,100,8.59
20,Ribeira Grande,PT,2021-11-25 17:16:39,38.5167,-28.7,64.8,63,40,23.02
21,Hobart,AU,2021-11-25 17:13:10,-42.8794,147.3294,48.06,71,40,10.36
22,Ilulissat,GL,2021-11-25 17:16:40,69.2167,-51.1,26.62,68,75,10.36
23,Mahebourg,MU,2021-11-25 17:16:40,-20.4081,57.7,77.29,78,40,3.44
24,Barrow,US,2021-11-25 17:16:41,71.2906,-156.7887,-9.38,77,1,13.8
25,Gizo,SB,2021-11-25 17:16:41,-8.103,156.8419,81.97,75,48,2.91
26,Tiksi,RU,2021-11-25 17:16:41,71.6872,128.8694,-2.99,83,100,5.64
27,Sept-Iles,CA,2021-11-25 17:16:42,50.2001,-66.3821,39.72,73,90,3.0
28,Rikitea,PF,2021-11-25 17:16:42,-23.1203,-134.9692,75.65,76,12,13.09
29,Chuy,UY,2021-11-25 17:16:43,-33.6971,-53.4616,79.16,44,100,9.51
30,Ushuaia,AR,2021-11-25 17:16:43,-54.8,-68.3,51.42,66,75,2.3
31,Okahandja,NA,2021-11-25 17:16:43,-21.9833,16.9167,84.51,6,0,18.72
32,Havre-Saint-Pierre,CA,2021-11-25 17:16:44,50.2334,-63.5986,41.36,100,90,10.36
33,Chokurdakh,RU,2021-11-25 17:16:44,70.6333,147.9167,-30.98,100,39,5.26
34,Hamilton,US,2021-11-25 17:16:45,39.1834,-84.5333,47.23,94,90,1.99
35,Juneau,US,2021-11-25 17:15:15,58.3019,-134.4197,35.6,96,90,0.0
36,Butaritari,KI,2021-11-25 17:16:45,3.0707,172.7902,82.29,73,56,16.26
37,Roald,NO,2021-11-25 17:16:46,62.5833,6.1333,34.9,100,75,9.22
38,Great Falls,US,2021-11-25 17:15:18,47.5002,-111.3008,46.67,39,40,18.99
39,Makokou,GA,2021-11-25 17:16:46,0.5738,12.8642,72.55,94,89,3.29
40,Frydek-Mistek,CZ,2021-11-25 17:16:46,49.6833,18.35,41.02,87,90,19.57
41,Lagunillas,VE,2021-11-25 17:16:47,10.1301,-71.2595,79.23,83,100,1.86
42,Qasigiannguit,GL,2021-11-25 17:16:47,68.8193,-51.1922,26.85,82,100,8.03
43,Cape Town,ZA,2021-11-25 17:13:00,-33.9258,18.4232,82.11,41,0,23.13
44,Punta Arenas,CL,2021-11-25 17:16:48,-53.15,-70.9167,51.91,58,75,31.07
45,Jamestown,US,2021-11-25 17:16:48,42.097,-79.2353,47.52,61,90,8.05
46,Tasiilaq,GL,2021-11-25 17:16:49,65.6145,-37.6368,32.16,54,3,14.32
47,Bam,IR,2021-11-25 17:16:49,29.106,58.357,61.92,42,0,1.52
48,Brainerd,US,2021-11-25 17:16:54,46.358,-94.2008,18.23,57,20,6.91
49,Rexburg,US,2021-11-25 17:15:38,43.826,-111.7897,33.06,59,1,3.44
50,Serrinha,BR,2021-11-25 17:17:50,-11.6642,-39.0075,78.28,74,96,10.22
51,Road Town,VG,2021-11-25 17:15:44,18.4167,-64.6167,80.69,89,40,6.91
52,Hobyo,SO,2021-11-25 17:17:51,5.3505,48.5268,82.13,79,34,14.45
53,Takapau,NZ,2021-11-25 17:17:51,-40.0333,176.35,46.72,84,15,4.12
54,Okha,RU,2021-11-25 17:17:52,53.5739,142.9478,33.37,91,91,19.35
55,Broome,US,2021-11-25 17:17:52,42.2506,-75.833,45.81,68,90,1.01
56,Richards Bay,ZA,2021-11-25 17:17:53,-28.783,32.0377,66.31,73,99,7.72
57,Paamiut,GL,2021-11-25 17:17:53,61.994,-49.6678,32.86,95,100,1.23
